noun_eng;noun_spa;gender;
backup;respaldo;masculine;
paradise;paraíso;masculine;
bishop;obispo;masculine;
trunk;baúl;masculine;
tradition;tradición;feminine;
salad;ensalada;feminine;
complex;complejo;masculine;
average;promedio;masculine;
cliff;acantilado;masculine;
greek;griego;masculine;
behalf;representación;feminine;
punk;punk;masculine;
strip;tira;feminine;
pipe;tubería;feminine;
sample;muestra;feminine;
laundry;lavandería;feminine;
environment;medio ambiente;masculine;
cage;jaula;feminine;
robot;robot;masculine;
habit;hábito;masculine;
wrap;envoltura;feminine;
belly;vientre;masculine;
benefit;beneficio;masculine;
sink;lavabo;masculine;
beep;pitido;masculine;
motive;motivo;masculine;
circus;circo;masculine;
territory;territorio;masculine;
pit;fosa;feminine;
apology;disculpa;feminine;
exam;examen;masculine;
festival;festival;masculine;
actress;actriz;feminine;
ward;sala;feminine;
activity;actividad;feminine;
worker;trabajador;masculine;
shelter;refugio;masculine;
existence;existencia;feminine;
atmosphere;atmósfera;feminine;
product;producto;masculine;
meantime;entretanto;masculine;
limit;límite;masculine;
election;elección;feminine;
underwear;ropa interior;feminine;
pulse;pulso;masculine;
farewell;despedida;feminine;
slap;bofetada;feminine;
yell;grito;masculine;
doorbell;timbre;masculine;
adventure;aventura;feminine;
passport;pasaporte;masculine;
hammer;martillo;masculine;
hood;capucha;feminine;
judgment;juicio;masculine;
homicide;homicidio;masculine;
patrol;patrulla;feminine;
flow;flujo;masculine;
noon;mediodía;masculine;
occasion;ocasión;feminine;
personality;personalidad;feminine;
fantasy;fantasía;feminine;
produce;producto fresco;masculine;
odds;probabilidades;feminine;
signature;firma;feminine;
individual;individuo;masculine;
charm;encanto;masculine;
chairman;presidente;masculine;
frame;marco;masculine;
relief;alivio;masculine;
cloud;nube;feminine;
corpse;cadáver;masculine;
organization;organización;feminine;
host;anfitrión;masculine;
transport;transporte;masculine;
oxygen;oxígeno;masculine;
citizen;ciudadano;masculine;
impact;impacto;masculine;
offense;ofensa;feminine;
producer;productor;masculine;
kit;kit;masculine;
ad;anuncio;masculine;
escort;escolta;feminine;
invitation;invitación;feminine;
terrorist;terrorista;masculine;
clay;arcilla;feminine;
tragedy;tragedia;feminine;
math;matemática;feminine;
shed;cobertizo;masculine;
procedure;procedimiento;masculine;
monitor;monitor;masculine;
spin;giro;masculine;
clown;payaso;masculine;
necklace;collar;masculine;
mud;barro;masculine;
profile;perfil;masculine;
angle;ángulo;masculine;
furniture;muebles;masculine;
engagement;compromiso;masculine;
moron;idiota;masculine;
shark;tiburón;masculine;
humanity;humanidad;feminine;
chop;corte;masculine;
snap;chasquido;masculine;
sales;ventas;feminine;
stable;establo;masculine;
granny;abuela;feminine;
pole;poste;masculine;
footage;metraje;masculine;
increase;aumento;masculine;
stretch;estiramiento;masculine;
romance;romance;masculine;
helicopter;helicóptero;masculine;
pitch;lanzamiento;masculine;
instance;instancia;feminine;
lemon;limón;masculine;
headache;dolor de cabeza;masculine;
rubbish;basura;feminine;
session;sesión;feminine;
pin;alfiler;masculine;
chamber;cámara;feminine;
commercial;comercial;masculine;
liver;hígado;masculine;
penis;pene;masculine;
engineer;ingeniero;masculine;
supper;cena;feminine;
liquor;licor;masculine;
drill;taladro;masculine;
alley;callejón;masculine;
hop;salto;masculine;
destruction;destrucción;feminine;
junk;chatarra;feminine;
rocket;cohete;masculine;
elder;anciano;masculine;
opera;ópera;feminine;
highway;autopista;feminine;
fighter;luchador;masculine;
alpha;alfa;masculine;
liberty;libertad;feminine;
surgeon;cirujano;masculine;
bum;vago;masculine;
widow;viuda;feminine;
reverend;reverendo;masculine;
insult;insulto;masculine;
comment;comentario;masculine;
soap;jabón;masculine;
prick;pinchazo;masculine;
scale;balanza;feminine;
grief;pena;feminine;
knee;rodilla;feminine;
slut;zorra;feminine;
album;álbum;masculine;
defendant;acusado;masculine;
goddess;diosa;feminine;
bend;curva;feminine;
makeup;maquillaje;masculine;
loyalty;lealtad;feminine;
powder;polvo;masculine;
gene;gen;masculine;
diet;dieta;feminine;
jam;mermelada;feminine;
salary;salario;masculine;
latin;latín;masculine;
population;población;feminine;
ambassador;embajador;masculine;
locker;taquilla;feminine;
praise;alabanza;feminine;
trauma;trauma;masculine;
shore;orilla;feminine;
wealth;riqueza;feminine;
honeymoon;luna de miel;feminine;
whiskey;whisky;masculine;
core;núcleo;masculine;
aid;ayuda;feminine;
tent;tienda de campaña;feminine;
blonde;rubia;feminine;
intention;intención;feminine;
abuse;abuso;masculine;
poetry;poesía;feminine;
jet;jet;masculine;
resistance;resistencia;feminine;
beard;barba;feminine;
strategy;estrategia;feminine;
goat;cabra;feminine;
award;premio;masculine;
corn;maíz;masculine;
pro;profesional;any;
net;red;feminine;
tattoo;tatuaje;masculine;
stroke;golpe;masculine;
novel;novela;feminine;
chaos;caos;masculine;
scientist;científico;masculine;
tale;cuento;masculine;
warehouse;almacén;masculine;
elephant;elefante;masculine;
branch;rama;feminine;
objection;objeción;feminine;
lap;regazo;masculine;
possession;posesión;feminine;
tap;grifo;masculine;
superior;superior;masculine;
chin;barbilla;feminine;
soda;refresco;masculine;
commission;comisión;feminine;
cinema;cine;masculine;
muscle;músculo;masculine;
poem;poema;masculine;
appeal;apelación;feminine;
steak;bistec;masculine;
survival;supervivencia;feminine;
profit;beneficio;masculine;
symbol;símbolo;masculine;
madness;locura;feminine;
development;desarrollo;masculine;
sail;vela;feminine;
tooth;diente;masculine;
review;reseña;feminine;
basketball;baloncesto;masculine;
management;gerencia;feminine;
tube;tubo;masculine;
rifle;rifle;masculine;
log;tronco;masculine;
bee;abeja;feminine;
squeeze;apretón;masculine;
manner;manera;feminine;
entry;entrada;feminine;
cable;cable;masculine;
pan;sartén;feminine;
native;nativo;masculine;
waiter;camarero;masculine;
brick;ladrillo;masculine;
pork;cerdo;masculine;
pile;pila;feminine;
expression;expresión;feminine;
clan;clan;masculine;
facility;instalación;feminine;
reception;recepción;feminine;
statue;estatua;feminine;
satellite;satélite;masculine;
polish;pulimento;masculine;
pound;libra;feminine;
communication;comunicación;feminine;
fridge;nevera;feminine;
foundation;fundación;feminine;
appearance;apariencia;feminine;
proposal;propuesta;feminine;
combat;combate;masculine;
slide;tobogán;masculine;
delay;retraso;masculine;
labor;trabajo;masculine;
burden;carga;feminine;
payment;pago;masculine;
mall;centro comercial;masculine;
paperwork;papeleo;masculine;
lamb;cordero;masculine;
item;artículo;masculine;
testimony;testimonio;masculine;
hip;cadera;feminine;
prom;baile de graduación;masculine;
patch;parche;masculine;
assignment;tarea;feminine;
motel;motel;masculine;
fraud;fraude;masculine;
dessert;postre;masculine;
injury;lesión;feminine;
bout;combate;masculine;
sack;saco;masculine;
soil;suelo;masculine;
badge;placa;feminine;
motor;motor;masculine;
description;descripción;feminine;
battery;batería;feminine;
complaint;queja;feminine;
cowboy;vaquero;masculine;
privacy;privacidad;feminine;
wisdom;sabiduría;feminine;
contrary;contrario;masculine;
crane;grúa;feminine;
leak;fuga;feminine;
pill;pastilla;feminine;
suitcase;maleta;feminine;
vodka;vodka;masculine;
chemical;químico;masculine;
catholic;católico;masculine;
soccer;fútbol;masculine;
brush;cepillo;masculine;
illness;enfermedad;feminine;
flip;voltereta;feminine;
twist;giro;masculine;
chapter;capítulo;masculine;
measure;medida;feminine;
radar;radar;masculine;
editor;editor;masculine;
structure;estructura;feminine;
marshal;mariscal;masculine;
bid;oferta;feminine;
palm;palma;feminine;
pub;pub;masculine;
analysis;análisis;masculine;
throne;trono;masculine;
barn;granero;masculine;
rage;ira;feminine;
fleet;flota;feminine;
budget;presupuesto;masculine;
humor;humor;masculine;
employee;empleado;masculine;
medication;medicación;feminine;
booze;alcohol;masculine;
sis;hermana;feminine;
turtle;tortuga;feminine;
nut;nuez;feminine;
coin;moneda;feminine;
basis;base;feminine;
discussion;discusión;feminine;
temper;temperamento;masculine;
plot;trama;feminine;
casino;casino;masculine;
poker;póker;masculine;
farmer;granjero;masculine;
counter;mostrador;masculine;
fucker;cabrón;masculine;
repair;reparación;feminine;
cookie;galleta;feminine;
baker;panadero;masculine;
massage;masaje;masculine;
entertainment;entretenimiento;masculine;
bucket;cubo;masculine;
whip;látigo;masculine;
forgiveness;perdón;masculine;
spider;araña;feminine;
phase;fase;feminine;
diary;diario;masculine;
blanket;manta;feminine;
comedy;comedia;feminine;
height;altura;feminine;
dive;buceo;masculine;
tennis;tenis;masculine;
sunshine;sol;masculine;
dope;droga;feminine;
permit;permiso;masculine;
jazz;jazz;masculine;
swallow;golondrina;feminine;
towel;toalla;feminine;
function;función;feminine;
bunny;conejo;masculine;
niece;sobrina;feminine;
prosecutor;fiscal;masculine;
fund;fondo;masculine;
pump;bomba;feminine;
region;región;feminine;
weakness;debilidad;feminine;
discovery;descubrimiento;masculine;
needle;aguja;feminine;
executive;ejecutivo;masculine;
halt;parada;feminine;
nest;nido;masculine;
gravity;gravedad;feminine;
wagon;vagón;masculine;
con;estafa;feminine;
burst;explosión;feminine;
weed;hierba;feminine;
concept;concepto;masculine;
vessel;buque;masculine;
zoo;zoológico;masculine;
stink;hedor;masculine;
leather;cuero;masculine;
mexican;mexicano;masculine;
sheet;hoja;feminine;
boot;bota;feminine;
reverse;reverso;masculine;
grandson;nieto;masculine;
shield;escudo;masculine;
conduct;conducta;feminine;
luggage;equipaje;masculine;
promotion;promoción;feminine;
menu;menú;masculine;
bacon;tocino;masculine;
method;método;masculine;
parade;desfile;masculine;
potato;patata;feminine;
tag;etiqueta;feminine;
radiation;radiación;feminine;
technique;técnica;feminine;
jewelry;joyería;feminine;
nanny;niñera;feminine;
cart;carrito;masculine;
tissue;tejido;masculine;
shooter;tirador;masculine;
arrival;llegada;feminine;
root;raíz;feminine;
galaxy;galaxia;feminine;
gossip;chisme;masculine;
skill;habilidad;feminine;
conspiracy;conspiración;feminine;
groom;novio;masculine;
cherry;cereza;feminine;
hunger;hambre;feminine;
ideal;ideal;masculine;
dough;masa;feminine;
terror;terror;masculine;
ham;jamón;masculine;
priority;prioridad;feminine;
mankind;humanidad;feminine;
click;clic;masculine;
european;europeo;masculine;
pillow;almohada;feminine;
scan;escáner;masculine;
rehearsal;ensayo;masculine;
poet;poeta;masculine;
celebration;celebración;feminine;
cattle;ganado;masculine;
drawer;cajón;masculine;
lighter;encendedor;masculine;
register;registro;masculine;
comic;cómic;masculine;
lamp;lámpara;feminine;
stab;puñalada;feminine;
dignity;dignidad;feminine;
wreck;naufragio;masculine;
relative;pariente;masculine;
coma;coma;feminine;
corporal;cabo;masculine;
basket;cesta;feminine;
horror;horror;masculine;
oath;juramento;masculine;
steam;vapor;masculine;
solo;solo;masculine;
cemetery;cementerio;masculine;
bump;golpe;masculine;
personnel;personal;masculine;
scum;escoria;feminine;
mob;multitud;feminine;
combination;combinación;feminine;
beam;viga;feminine;
alliance;alianza;feminine;
counselor;consejero;masculine;
nap;siesta;feminine;
conflict;conflicto;masculine;
assistance;asistencia;feminine;
retreat;retiro;masculine;
candidate;candidato;masculine;
rubber;goma;feminine;
bingo;bingo;masculine;
autopsy;autopsia;feminine;
carpet;alfombra;feminine;
puppy;cachorro;masculine;
gut;intestino;masculine;
coffin;ataúd;masculine;
instant;instante;masculine;
ash;ceniza;feminine;
scandal;escándalo;masculine;
ally;aliado;masculine;
arrow;flecha;feminine;
misery;miseria;feminine;
cotton;algodón;masculine;
suite;suite;feminine;
lecture;conferencia;feminine;
economy;economía;feminine;
stare;mirada;feminine;
guardian;guardián;masculine;
gig;actuación;feminine;
investment;inversión;feminine;
heroin;heroína;feminine;
deposit;depósito;masculine;
medal;medalla;feminine;
gum;chicle;masculine;
swell;hinchazón;feminine;
commitment;compromiso;masculine;
hut;cabaña;feminine;
rear;parte trasera;feminine;
photographer;fotógrafo;masculine;
excitement;emoción;feminine;
ranch;rancho;masculine;
fee;tarifa;feminine;
tool;herramienta;feminine;
profession;profesión;feminine;
document;documento;masculine;
journalist;periodista;masculine;
bait;cebo;masculine;
breast;pecho;masculine;
sorrow;pena;feminine;
roommate;compañero de cuarto;masculine;
counsel;consejo;masculine;
cannon;cañón;masculine;
penalty;penalización;feminine;
announcement;anuncio;masculine;
cocaine;cocaína;feminine;
embrace;abrazo;masculine;
spike;púa;feminine;
silk;seda;feminine;
theft;robo;masculine;
visitor;visitante;masculine;
acid;ácido;masculine;
fuss;alboroto;masculine;
bargain;ganga;feminine;
feast;festín;masculine;
collar;collar;masculine;
envy;envidia;feminine;
flame;llama;feminine;
fame;fama;feminine;
perfume;perfume;masculine;
protest;protesta;feminine;
psycho;psicópata;masculine;
emotion;emoción;feminine;
display;exhibición;feminine;
content;contenido;masculine;
pepper;pimienta;feminine;
skirt;falda;feminine;
cruise;crucero;masculine;
embassy;embajada;feminine;
scar;cicatriz;feminine;
rhythm;ritmo;masculine;
myth;mito;masculine;
shove;empujón;masculine;
certificate;certificado;masculine;
drum;tambor;masculine;
infection;infección;feminine;
scotch;whisky;masculine;
frog;rana;feminine;
chess;ajedrez;masculine;
belief;creencia;feminine;
cabinet;gabinete;masculine;
rumor;rumor;masculine;
lung;pulmón;masculine;
rap;rap;masculine;
error;error;masculine;
debate;debate;masculine;
sum;suma;feminine;
sweep;barrido;masculine;
era;era;feminine;
vault;bóveda;feminine;
liquid;líquido;masculine;
aircraft;avión;masculine;
gunfire;disparos;masculine;
chap;chaval;masculine;
fry;fritura;feminine;
cargo;carga;feminine;
fist;puño;masculine;
sucker;chupón;masculine;
oven;horno;masculine;
hatred;odio;masculine;
bench;banco;masculine;
envelope;sobre;masculine;
kindness;amabilidad;feminine;
helmet;casco;masculine;
sailor;marinero;masculine;
ladder;escalera;feminine;
barrel;barril;masculine;
folk;gente;feminine;
banana;banana;feminine;
alternative;alternativa;feminine;
dial;dial;masculine;
tension;tensión;feminine;
raid;redada;feminine;
scout;explorador;masculine;
grip;agarre;masculine;
tin;lata;feminine;
quote;cita;feminine;
subway;metro;masculine;
storage;almacenamiento;masculine;
trailer;remolque;masculine;
enterprise;empresa;feminine;
cycle;ciclo;masculine;
importance;importancia;feminine;
bass;bajo;masculine;
residence;residencia;feminine;
lip;labio;masculine;
gallery;galería;feminine;
motorcycle;motocicleta;feminine;
worship;culto;masculine;
congress;congreso;masculine;
execution;ejecución;feminine;
ritual;ritual;masculine;
whale;ballena;feminine;
application;solicitud;feminine;
tub;bañera;feminine;
pistol;pistola;feminine;
democracy;democracia;feminine;
campus;campus;masculine;
conclusion;conclusión;feminine;
rascal;granuja;masculine;
candle;vela;feminine;
principle;principio;masculine;
butcher;carnicero;masculine;
sweater;suéter;masculine;
rank;rango;masculine;
picnic;picnic;masculine;
recovery;recuperación;feminine;
villa;villa;feminine;
brandy;brandy;masculine;
appetite;apetito;masculine;
lesbian;lesbiana;feminine;
shepherd;pastor;masculine;
perspective;perspectiva;feminine;
hockey;hockey;masculine;
discipline;disciplina;feminine;
lick;lamida;feminine;
coal;carbón;masculine;
tomb;tumba;feminine;
hush;silencio;masculine;
dummy;muñeco;masculine;
suggestion;sugerencia;feminine;
addition;adición;feminine;
parole;libertad condicional;feminine;
cafe;café;masculine;
wizard;mago;masculine;
consciousness;conciencia;feminine;
sector;sector;masculine;
sunset;puesta del sol;feminine;
creation;creación;feminine;
passage;pasaje;masculine;
compliment;cumplido;masculine;
broadcast;transmisión;feminine;
prey;presa;feminine;
puzzle;rompecabezas;masculine;
arrangement;arreglo;masculine;
invasion;invasión;feminine;
eternity;eternidad;feminine;
plague;plaga;feminine;
philosophy;filosofía;feminine;
prostitute;prostituta;feminine;
instinct;instinto;masculine;
affection;afecto;masculine;
ministry;ministerio;masculine;
luxury;lujo;masculine;
breeze;brisa;feminine;
sausage;salchicha;feminine;
physics;física;feminine;
pirate;pirata;any;
slice;rebanada;feminine;
rod;caña;feminine;
kidney;riñón;masculine;
inspiration;inspiración;feminine;
ginger;jengibre;masculine;
destination;destino;masculine;
concrete;concreto;masculine;
stream;arroyo;masculine;
drain;desagüe;masculine;
spray;aerosol;masculine;
organ;órgano;masculine;
thumb;pulgar;masculine;
formula;fórmula;feminine;
hooker;prostituta;feminine;
bra;sostén;masculine;
bachelor;soltero;masculine;
airplane;avión;masculine;
absence;ausencia;feminine;
daylight;luz del día;feminine;
wrist;muñeca;feminine;
deed;escritura;feminine;
pace;ritmo;masculine;
plug;enchufe;masculine;
privilege;privilegio;masculine;
bonus;bono;masculine;
honesty;honestidad;feminine;
cellar;bodega;feminine;
carriage;carruaje;masculine;
lobby;vestíbulo;masculine;
scent;olor;masculine;
burger;hamburguesa;feminine;
protocol;protocolo;masculine;
mole;topo;masculine;
disgrace;desgracia;feminine;
illusion;ilusión;feminine;
verdict;veredicto;masculine;
income;ingreso;masculine;
civilization;civilización;feminine;
element;elemento;masculine;
balloon;globo;masculine;
toe;dedo del pie;masculine;
lottery;lotería;feminine;
mansion;mansión;feminine;
curtain;cortina;feminine;
cheek;mejilla;feminine;
harbor;puerto;masculine;
flood;inundación;feminine;
cocktail;cóctel;masculine;
reply;respuesta;feminine;
zombie;zombi;masculine;
bubble;burbuja;feminine;
seed;semilla;feminine;
celebrity;celebridad;feminine;
missile;misil;masculine;
rot;pudrición;feminine;
laser;láser;masculine;
spite;rencor;masculine;
mill;molino;masculine;
waitress;camarera;feminine;
retirement;jubilación;feminine;
consent;consenso;masculine;
copper;cobre;masculine;
auction;subasta;feminine;
confusion;confusión;feminine;
column;columna;feminine;
sympathy;simpatía;feminine;
speaker;altavoz;masculine;
brass;latón;masculine;
constable;constable;masculine;
scheme;esquema;masculine;
ditch;zanja;feminine;
suspicion;sospecha;feminine;
tide;marea;feminine;
tournament;torneo;masculine;
rainbow;arcoíris;masculine;
orbit;órbita;feminine;
corps;cuerpo;masculine;
platform;plataforma;feminine;
cloth;tela;feminine;
shotgun;escopeta;feminine;
fur;pelaje;masculine;
gin;ginebra;feminine;
